dataset_name,num_instances,num_features,num_classes,class_imbalance,avg_feature_correlation,sparsity,task_type,subset_size,weight_decay
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,30,5.8570208180566735e-05
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,60,2.0092330025650458e-06
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,90,0.0002104904144512
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,120,3.1992671377973847e-06
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,150,8.111308307896873e-06
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,180,7.390722033525775e-05
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,210,0.0019179102616724
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,240,0.000187381742286
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,270,6.579332246575683e-05
dna,2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,classification,300,0.0005336699231206
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,40,0.000187381742286
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,80,0.0001176811952434
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,120,4.037017258596558e-06
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,160,0.0004229242874389
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,200,0.0008497534359086
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,240,1.1233240329780266e-06
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,280,6.579332246575683e-05
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,320,0.0002104904144512
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,360,5.094138014816376e-06
splice,3175,60,2,0.0,0.0315947878332803,0.0,classification,400,4.641588833612782e-05
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,40,1.261856883066021e-06
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,80,4.534878508128582e-06
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,120,2.0565123083486515e-05
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,160,0.0086974900261778
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,200,0.0001321941148466
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,240,0.0004750810162102
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,280,8.111308307896873e-06
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,320,0.0024201282647943
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,360,5.094138014816376e-06
usps,9298,256,10,0.4558918222794591,0.2074608883555158,8.402344590097144e-07,classification,400,2.5950242113997373e-05
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,20,0.0109749876549305
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,40,1e-06
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,60,3.1992671377973847e-06
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,80,0.000673415065775
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,100,0.0024201282647943
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,120,0.0034304692863149
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,140,0.0030538555088334
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,160,0.0017073526474706
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,180,0.0010722672220103
topv2,13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,classification,200,0.0019179102616724
