train_size,train_error,test_error
0.1,2.0640605434247727e-07,1.700792220114605e-06
0.18888888888888888,1.145057793907983e-07,1.467052112857091e-06
0.2777777777777778,1.33535120182836e-07,2.868720335696534e-06
0.3666666666666667,2.197459388556e-07,2.5737645480090014e-06
0.4555555555555556,2.1464597605587185e-07,1.3788274349991353e-06
0.5444444444444445,1.0044735145206644e-07,1.0262553529228507e-06
0.6333333333333333,7.156537958111503e-08,1.0590256526937264e-06
0.7222222222222222,9.928611605276337e-07,7.947097478535052e-06
0.8111111111111111,7.429860708515486e-07,9.803998263713631e-06
0.9,5.771114171918067e-07,1.1295861429640062e-05
