num_instances,num_features,num_classes,class_imbalance,avg_feature_correlation,sparsity,subset_size,weight_decay
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,30,5.8570208180566735e-05
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,60,2.0092330025650458e-06
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,90,0.0002104904144512
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,120,3.1992671377973847e-06
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,150,8.111308307896873e-06
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,180,7.390722033525775e-05
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,210,0.0019179102616724
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,240,0.000187381742286
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,270,6.579332246575683e-05
2586,180,3,0.4534623976172747,0.0318559308213472,0.7473274899028959,300,0.0005336699231206
3175,60,2,0.0,0.0315947878332803,0.0,40,0.000187381742286
3175,60,2,0.0,0.0315947878332803,0.0,80,0.0001176811952434
3175,60,2,0.0,0.0315947878332803,0.0,120,4.037017258596558e-06
3175,60,2,0.0,0.0315947878332803,0.0,160,0.0004229242874389
3175,60,2,0.0,0.0315947878332803,0.0,200,0.0008497534359086
3175,60,2,0.0,0.0315947878332803,0.0,240,1.1233240329780266e-06
3175,60,2,0.0,0.0315947878332803,0.0,280,6.579332246575683e-05
3175,60,2,0.0,0.0315947878332803,0.0,320,0.0002104904144512
3175,60,2,0.0,0.0315947878332803,0.0,360,5.094138014816376e-06
3175,60,2,0.0,0.0315947878332803,0.0,400,4.641588833612782e-05
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,20,0.0109749876549305
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,40,1e-06
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,60,3.1992671377973847e-06
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,80,0.000673415065775
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,100,0.0024201282647943
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,120,0.0034304692863149
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,140,0.0030538555088334
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,160,0.0017073526474706
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,180,0.0010722672220103
13430,26,2,0.0,0.1865641562016046,2.8638524542934363e-06,200,0.0019179102616724
